  Package                                   Version  Build               Channel                                                                   Size
  + r-plogr                                   0.2.0  r41hc72bb7e_1003    conda-forge/noarch                                                      Cached
  + r-plyr                                    1.8.6  r41h9951f98_1       conda-forge/osx-64                                                      Cached
  + r-png                                     0.1_7  r41h28b5c78_1004    conda-forge/osx-64                                                      Cached
  + r-polyclip                               1.10_0  r41h9951f98_2       conda-forge/osx-64                                                      Cached
  + r-ppcor                                     1.1  r41ha770c72_1003    conda-forge/noarch                                                      Cached
  + r-praise                                  1.0.0  r41hc72bb7e_1004    conda-forge/noarch                                                      Cached
  + r-prettyunits                             1.1.1  r41hc72bb7e_1       conda-forge/noarch                                                      Cached
  + r-proc                                   1.18.0  r41h9951f98_0       conda-forge/osx-64                                                      846 KB
  + r-processx                                3.5.2  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-prodlim                            2019.11.13  r41h9951f98_1       conda-forge/osx-64                                                      412 KB
  + r-progressr                               0.8.0  r41hc72bb7e_0       conda-forge/noarch                                                      268 KB
  + r-promises                              1.2.0.1  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-proxy                                  0.4_26  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-ps                                      1.6.0  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-purrr                                   0.3.4  r41h28b5c78_1       conda-forge/osx-64                                                      Cached
  + r-qqman                                   0.1.8  r41hc72bb7e_0       conda-forge/noarch                                                        1 MB
  + r-r6                                      2.5.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-randomforest                           4.6_14  r41h749f5a1_1004    conda-forge/osx-64                                                      Cached
  + r-rappdirs                                0.3.3  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-rarpack                                0.11_0  r41hc72bb7e_1003    conda-forge/noarch                                                      Cached
  + r-rbibutils                               2.2.3  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-rcmdcheck                               1.3.3  r41hc72bb7e_3       conda-forge/noarch                                                      140 KB
  + r-rcolorbrewer                            1.1_2  r41h785f33e_1003    conda-forge/noarch                                                      Cached
  + r-rcpp                                    1.0.7  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-rcpparmadillo                      0.10.6.0.0  r41he5a6823_0       conda-forge/osx-64                                                      Cached
  + r-rcppeigen                           0.3.3.9.1  r41he5a6823_0       conda-forge/osx-64                                                      Cached
  + r-rcurl                                1.98_1.4  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-rdpack                                  2.1.2  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-recipes                                0.1.16  r41hc72bb7e_0       conda-forge/noarch                                                        1 MB
  + r-recommended                               4.1  r41hd8ed1ab_1004    conda-forge/noarch                                                       15 KB
  + r-rematch2                                2.1.2  r41hc72bb7e_1       conda-forge/noarch                                                      Cached
  + r-remotes                                 2.4.0  r41hc72bb7e_0       conda-forge/noarch                                                      399 KB
  + r-reshape2                                1.4.4  r41h9951f98_1       conda-forge/osx-64                                                      Cached
  + r-rex                                     1.2.0  r41hc72bb7e_1       conda-forge/noarch                                                      132 KB
  + r-rjson                                  0.2.20  r41h9951f98_1002    conda-forge/osx-64                                                      147 KB
  + r-rlang                                  0.4.11  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-rmarkdown                                2.10  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-roxygen2                                7.1.2  r41h9951f98_0       conda-forge/osx-64                                                      652 KB
  + r-rpart                                  4.1_15  r41h28b5c78_2       conda-forge/osx-64                                                      734 KB
  + r-rprojroot                               2.0.2  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-rspectra                               0.16_0  r41he5a6823_4       conda-forge/osx-64                                                      Cached
  + r-rsqlite                                 2.2.5  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-rstudioapi                               0.13  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
